lizard_id,position,day,t_start,t_end,t_move,t_shelter,t_emerged,t_chase,lat_move,lat_shelter,lat_emergence,emergence
1255,A1,1,529,598,608,3039,5439,69,10,2431,2400,0
1382,A1,1,453,519,618,626,3026,66,99,8,2400,0
1410,A1,1,301,365,600,760,3160,64,235,160,2400,0
2073,A1,1,377,441,457,481,2881,64,16,24,2400,0
1373,A2,1,764,829,854,863,2788,65,25,9,1925,1
1478,A2,1,610,676,891,940,3104,66,215,49,2164,1
2298,A2,1,601,755,1076,1079,3479,154,321,3,2400,0
1207,A3,1,1025,1132,1150,1174,3574,107,18,24,2400,0
1381,A3,1,981,1043,1054,1359,3759,62,11,305,2400,0
1401,A3,1,1161,1213,1357,1556,3956,52,144,199,2400,0
1283,A4,1,817,879,882,952,2197,62,3,70,1245,1
1562,A4,1,730,792,793,795,3195,62,1,2,2400,0
1609,A4,1,899,961,979,2073,4473,62,18,1094,2400,0
1276,B1,1,1337,1399,1412,1506,3906,62,13,94,2400,0
1438,B1,1,1227,1319,1907,1936,4336,92,588,29,2400,0
1198,B2,1,1496,1558,1589,1589,3989,62,31,0,2400,0
1233,B2,1,1419,1481,1529,1952,4352,62,48,423,2400,0
1240,B2,1,1572,1634,1903,1971,4371,62,269,68,2400,0
1284,B2,1,1648,1710,1729,1746,4146,62,19,17,2400,0
1432,B3,1,1183,1246,1376,1685,2934,63,130,309,1249,1
2047,B3,1,1102,1168,1184,1185,1235,66,16,1,50,1
1205,B4,1,1420,1484,1488,1490,3845,64,4,2,2355,1
1296,B4,1,1264,1330,1364,2321,4721,66,34,957,2400,0
1399,B4,1,1342,1407,1423,1425,3825,65,16,2,2400,0
1366,C1,1,955,1020,1125,1156,2635,65,105,31,1479,1
1374,C1,1,798,863,1094,1112,2753,65,231,18,1641,1
1463,C1,1,879,945,1368,1379,3779,66,423,11,2400,0
1202,C2,1,1112,1175,1444,2138,4538,63,269,694,2400,0
1322,C2,1,1039,1103,1342,2647,4097,64,239,1305,1450,1
2205,C2,1,1189,1253,1488,1521,3921,64,235,33,2400,0
1611,C3,1,2806,2868,2931,3004,5404,62,63,73,2400,0
1222,C4,1,2477,2539,2567,3005,5405,62,28,438,2400,0
1390,C4,1,2727,2789,2905,2905,5305,62,116,0,2400,0
1454,C4,1,2560,2622,2807,2839,5239,62,185,32,2400,0
2105,C4,1,2647,2709,2761,3014,5414,62,52,253,2400,0
1177,D1,1,3076,3138,3302,4225,6625,62,164,923,2400,0
1358,D1,1,3161,3223,3232,3284,5569,62,9,52,2285,1
1479,D1,1,2999,3061,3064,3069,4921,62,3,5,1852,1
1303,D2,1,3247,3309,3519,3519,5919,62,210,0,2400,0
1531,D2,1,3330,3392,3517,3687,6087,62,125,170,2400,0
1371,D3,1,2253,2316,2339,2600,3044,63,23,261,444,1
1459,D3,1,2168,2233,2308,2351,4751,65,75,43,2400,0
1166,D4,1,1923,1987,2000,2015,4415,64,13,15,2400,0
1192,D4,1,1998,2064,2069,3862,6262,66,5,1793,2400,0
1229,D4,1,1838,1904,1928,2266,4339,66,24,338,2073,1
1257,D4,1,2082,2144,2149,3064,5464,62,5,915,2400,0
1442,E1,1,2468,2530,2817,3406,5806,62,287,589,2400,0
1565,E1,1,2393,2456,3229,3286,5686,63,773,57,2400,0
1174,E2,1,2779,2845,3195,3613,6013,66,350,418,2400,0
1185,E2,1,2705,2768,2770,3187,5587,63,2,417,2400,0
1402,E2,1,2629,2683,3333,3375,5775,54,650,42,2400,0
2255,E2,1,2548,2615,3057,3320,5720,67,442,263,2400,0
1218,E3,1,4911,4973,4994,5122,7522,62,21,128,2400,0
1443,E3,1,5022,5080,5084,5103,6024,58,4,19,921,1
2164,E3,1,5110,5172,5245,5524,6724,62,73,279,1200,1
1172,E4,1,4641,4706,5806,5810,8210,65,1100,4,2400,0
1239,E4,1,4809,4877,4905,5383,7783,68,28,478,2400,0
2346,E4,1,4721,4783,4788,4878,7278,62,5,90,2400,0
1230,F1,1,5453,5517,5579,5585,7985,64,62,6,2400,0
1487,F1,1,5535,5598,5660,5697,8097,63,62,37,2400,0
2351,F1,1,5367,5430,5457,5458,7858,63,27,1,2400,0
1419,F2,1,5615,5680,5954,5971,8371,65,274,17,2400,0
1534,F2,1,5863,5927,6070,6090,8414,64,143,20,2324,1
1580,F2,1,5702,5766,6079,6088,8488,64,313,9,2400,0
1613,F2,1,5781,5845,6013,6067,7738,64,168,54,1671,1
1182,F3,1,3198,3261,3279,3543,5943,63,18,264,2400,0
1424,F3,1,3111,3174,3199,3546,4327,63,25,347,781,1
2106,F3,1,3281,3447,3450,3507,5907,166,3,57,2400,0
2486,F3,1,3028,3093,3154,3978,6378,65,61,824,2400,0
1340,F4,1,2935,3017,3022,3175,5404,82,5,153,2229,1
1417,F4,1,2779,2842,2967,3770,4203,63,125,803,433,1
1467,F4,1,2859,2921,3924,2959,5359,62,1003,-965,2400,0
1421,G1,1,3381,3445,3644,4317,5958,64,199,673,1641,1
1674,G1,1,3309,3372,3386,3620,6020,63,14,234,2400,0
2009,G1,1,3455,3520,3695,3714,6114,65,175,19,2400,0
1258,G2,1,3756,3819,4119,4372,6772,63,300,253,2400,0
1328,G2,1,3679,3744,3767,3929,6329,65,23,162,2400,0
1408,G2,1,3535,3672,3689,3691,6091,137,17,2,2400,0
1360,G3,1,776,840,1234,1841,2864,64,394,607,1023,1
1795,G3,1,937,1000,1064,1067,3467,63,64,3,2400,0
2081,G3,1,862,925,990,2090,2150,63,65,1100,60,1
1223,G4,1,221,285,348,575,2975,64,63,227,2400,0
1334,G4,1,57,126,228,413,2813,69,102,185,2400,0
1619,G4,1,305,366,696,3395,4146,61,330,2699,751,1
2242,G4,1,141,203,396,2573,3140,62,193,2177,567,1
1255,A1,2,420,474,fast ,475,2875,54,#VALUE!,#VALUE!,2400,0
1382,A1,2,330,395,505,703,3103,65,110,198,2400,0
1410,A1,2,168,237,274,918,3318,69,37,644,2400,0
2073,A1,2,254,316,361,1530,3930,62,45,1169,2400,0
1373,A2,2,644,4024,4079,4103,6503,3380,55,24,2400,0
1478,A2,2,489,555,603,780,3200,66,48,177,2420,0
2298,A2,2,568,631,733,736,3160,63,102,3,2424,0
1207,A3,2,1005,1069,1075,1191,3591,64,6,116,2400,0
1381,A3,2,841,906,921,935,3335,65,15,14,2400,0
1401,A3,2,923,990,1157,1635,4035,67,167,478,2400,0
1283,A4,2,675,741,746,1013,3413,66,5,267,2400,0
1562,A4,2,587,648,651,676,3076,61,3,25,2400,0
1609,A4,2,757,821,834,872,3272,64,13,38,2400,0
1276,B1,2,1260,1324,1335,1457,3857,64,11,122,2400,0
1438,B1,2,1185,1249,1256,1324,3724,64,7,68,2400,0
1198,B2,2,1417,1485,1573,1598,3998,68,88,25,2400,0
1233,B2,2,1340,1404,1534,1627,3496,64,130,93,1869,1
1240,B2,2,1504,1570,1671,1696,4096,66,101,25,2400,0
1284,B2,2,1581,1645,1649,1657,4057,64,4,8,2400,0
1432,B3,2,2887,2952,3230,3301,4634,65,278,71,1333,1
2047,B3,2,2967,3030,3117,3124,5083,63,87,7,1959,1
1205,B4,2,2220,2283,2291,2400,4800,63,8,109,2400,0
1296,B4,2,2300,2363,2890,3291,5991,63,527,401,2700,0
1399,B4,2,2382,2447,2458,NA,NA,65,11,0,NA,NA
1366,C1,2,2043,2104,2114,2116,4516,61,10,2,2400,0
1374,C1,2,2121,2185,2194,2457,4658,64,9,263,2201,1
1463,C1,2,1968,2031,2045,2084,4484,63,14,39,2400,0
1202,C2,2,1888,1949,2216,2329,4729,61,267,113,2400,0
1322,C2,2,1810,1875,2110,2142,4542,65,235,32,2400,0
2205,C2,2,1731,1795,1885,1929,3329,64,90,44,1400,1
1611,C3,2,2958,3023,3055,3749,6149,65,32,694,2400,0
1222,C4,2,2466,2528,2579,2737,5137,62,51,158,2400,0
1390,C4,2,2717,2779,2793,2849,5249,62,14,56,2400,0
1454,C4,2,2547,2610,2760,2821,5221,63,150,61,2400,0
2105,C4,2,2629,2693,2740,2803,5203,64,47,63,2400,0
1177,D1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1358,D1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1479,D1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303,D2,2,3111,3173,3234,3255,5655,62,61,21,2400,0
1531,D2,2,3182,3245,3332,3363,5763,63,87,31,2400,0
1371,D3,2,555,619,650,763,1770,64,31,113,1007,1
1459,D3,2,462,526,532/630,1076,3476,64,#VALUE!,#VALUE!,2400,0
1166,D4,2,210,274,280,405,2805,64,6,125,2400,0
1192,D4,2,291,356,360,430,2830,65,4,70,2400,0
1229,D4,2,132,196,315,349,2749,64,119,34,2400,0
1257,D4,2,379,445,465,540,2940,66,20,75,2400,0
1442,E1,2,4222,4286,4391,4471,6871,64,105,80,2400,0
1565,E1,2,4147,4209,4228,6535,6604,62,19,2307,69,1
1174,E2,2,4549,4614,4703,4826,7226,65,89,123,2400,0
1185,E2,2,4472,4535,4613,5300,7700,63,78,687,2400,0
1402,E2,2,4392,4457,4546,4547,6947,65,89,1,2400,0
2255,E2,2,4311,4377,4674,5186,7586,66,297,512,2400,0
1218,E3,2,1316,1379,1397,1783,4183,63,18,386,2400,0
1443,E3,2,1395,1457,1460,1498,2617,62,3,38,1119,1
2164,E3,2,1476,1542,1595,1914,4314,66,53,319,2400,0
1172,E4,2,1047,1113,1297,1344,3744,66,184,47,2400,0
1239,E4,2,1215,1279,1297,1347,3747,64,18,50,2400,0
2346,E4,2,1131,1198,1202,1215,3615,67,4,13,2400,0
1230,F1,2,2094,2155,2206,2365,4644,61,51,159,2279,1
1487,F1,2,2165,2233,2239,2253,4653,68,6,14,2400,0
2351,F1,2,1993,2057,2273,3059,5459,64,216,786,2400,0
1419,F2,2,2251,2315,2320,2605,5005,64,5,285,2400,0
1534,F2,2,2478,2539,2574,3018,5368,61,35,444,2350,1
1580,F2,2,2328,2393,2538,2970,4780,65,145,432,1810,1
1613,F2,2,2407,2468,2476,2557,4785,61,8,81,2228,1
1182,F3,2,6380,6445,6765,6776,9176,65,320,11,2400,0
1424,F3,2,6283,6345,6391,6723,7776,62,46,332,1053,1
2106,F3,2,6463,6526,6653,6831,9231,63,127,178,2400,0
2486,F3,2,6198,6263,6288,6290,7025,65,25,2,735,1
1340,F4,2,6115,6178,6205,6219,8619,63,27,14,2400,0
1417,F4,2,5953,6018,6150,6378,7547,65,132,228,1169,1
1467,F4,2,6039,6103,6107,6115,8511,64,4,8,2396,1
1421,G1,2,717,779,872,985,3385,62,93,113,2400,0
1674,G1,2,539,602,650,659,3059,63,48,9,2400,0
2009,G1,2,641,704,843,1301,2086,63,139,458,785,1
1258,G2,2,867,930,1809,2164,4564,63,879,355,2400,0
1328,G2,2,788,851,907,971,3371,63,56,64,2400,0
1408,G2,2,714,778,789,1148,3548,64,11,359,2400,0
1360,G3,2,5027,5090,5418,5484,6795,63,328,66,1311,1
1795,G3,2,5303,5376,5387,5457,6142,73,11,70,685,1
2081,G3,2,5215,5277,5280,5717,6175,62,3,437,458,1
1223,G4,2,4903,5001,5310,5345,7745,98,309,35,2400,0
1334,G4,2,4731,4793,4814,4822,7222,62,21,8,2400,0
1619,G4,2,5129,5192,5456,6638,9038,63,264,1182,2400,0
2242,G4,2,4811,4872,5073,5090,7490,61,201,17,2400,0
1255,A1,3,259,323,328,1934,4334,64,5,1606,2400,0
1382,A1,3,107,171,349,869,2191,64,178,520,1322,1
1410,A1,3,33,94,229,1717,4117,61,135,1488,2400,0
2073,A1,3,185,248,345,620,3020,63,97,275,2400,0
1373,A2,3,502,572,604,1802,4202,70,32,1198,2400,0
1478,A2,3,342,406,607,646,3046,64,201,39,2400,0
2298,A2,3,424,486,494,519,2919,62,8,25,2400,0
1207,A3,3,1168,1236,1249,1360,3760,68,13,111,2400,0
1381,A3,3,1018,1080,1084,1210,3610,62,4,126,2400,0
1401,A3,3,1250,1334,1340,1340,3740,84,6,0,2400,0
1283,A4,3,826,890,907,1095,3495,64,17,188,2400,0
1562,A4,3,910,973,978,998,3398,63,5,20,2400,0
1609,A4,3,995,1059,1070,1500,3900,64,11,430,2400,0
1276,B1,3,1746,1810,1815,2039,4439,64,5,224,2400,0
1438,B1,3,1667,1733,1891,2023,4423,66,158,132,2400,0
1198,B2,3,1346,1408,1417,1434,3834,62,9,17,2400,0
1233,B2,3,1420,1486,1517,1568,3756,66,31,51,2188,1
1240,B2,3,1587,1650,1819,1952,4352,63,169,133,2400,0
1284,B2,3,1506,1573,1575,1742,4142,67,2,167,2400,0
1432,B3,3,2771,2835,2837,2841,4152,64,2,4,1311,1
2047,B3,3,2848,2912,2932,3105,4131,64,20,173,1026,1
1205,B4,3,2183,2246,2330,2341,4741,63,84,11,2400,0
1296,B4,3,2260,2328,2785,4105,6237,68,457,1320,2132,1
1399,B4,3,2344,2410,2474,3314,5714,66,64,840,2400,0
1366,C1,3,1872,1937,1941,1958,4358,65,4,17,2400,0
1374,C1,3,1702,1767,1810,4643,4655,65,43,2833,12,1
1463,C1,3,1789,1859,1876,1982,4382,70,17,106,2400,0
1202,C2,3,2033,2097,2138,2293,4693,64,41,155,2400,0
1322,C2,3,1953,2016,2067,2077,4477,63,51,10,2400,0
2205,C2,3,2117,2185,2304,2316,4716,68,119,12,2400,0
1611,C3,3,3222,3288,3292,3499,5899,66,4,207,2400,0
1222,C4,3,2738,2801,3009,3076,5476,63,208,67,2400,0
1390,C4,3,2978,3041,3047,3292,5692,63,6,245,2400,0
1454,C4,3,2819,2880,3034,3282,5682,61,154,248,2400,0
2105,C4,3,2878,2960,3201,3436,5836,82,241,235,2400,0
1177,D1,3,3317,3383,3532,4009,5177,66,149,477,1168,1
1358,D1,3,3403,3467,3479,3586,4769,64,12,107,1183,1
1479,D1,3,3243,3306,3320,3321,5721,63,14,1,2400,0
1303,D2,3,108,171,282,297,2697,63,111,15,2400,0
1531,D2,3,183,247,264,284,2684,64,17,20,2400,0
1371,D3,3,497,561,577,703,3103,64,16,126,2400,0
1459,D3,3,419,481,680,708,3108,62,199,28,2400,0
1166,D4,3,164,232,252,278,2678,68,20,26,2400,0
1192,D4,3,247,310,326,466,2866,63,16,140,2400,0
1229,D4,3,87,149,404,470,2870,62,255,66,2400,0
1257,D4,3,325,392,396,1093,3493,67,4,697,2400,0
1442,E1,3,597,662,956,979,3379,65,294,23,2400,0
1565,E1,3,509,571,2951,3021,5421,62,2380,70,2400,0
1174,E2,3,842,909,966,968,3368,67,57,2,2400,0
1185,E2,3,921,988,990,1098,3498,67,2,108,2400,0
1402,E2,3,763,828,1241,1251,3651,65,413,10,2400,0
2255,E2,3,684,746,1032,1266,3666,62,286,234,2400,0
1218,E3,3,1632,1697,1700,1948,4348,65,3,248,2400,0
1443,E3,3,1548,1610,1613,1643,4043,62,3,30,2400,0
2164,E3,3,1715,1779,1834,1863,4263,64,55,29,2400,0
1172,E4,3,1256,1318,1426,1690,4090,62,108,264,2400,0
1239,E4,3,1450,1513,1536,3231,5631,63,23,1695,2400,0
2346,E4,3,1350,1414,1446,1643,4043,64,32,197,2400,0
1230,F1,3,2314,2398,2449,2499,4838,84,51,50,2339,1
1487,F1,3,2407,2472,2490,2496,4896,65,18,6,2400,0
2351,F1,3,2253,2316,2349,2495,4895,63,33,146,2400,0
1419,F2,3,2493,2556,2572,2583,4983,63,16,11,2400,0
1534,F2,3,2733,2800,2924,3147,5535,67,124,223,2388,1
1580,F2,3,2570,2637,2659,2884,4695,67,22,225,1811,1
1613,F2,3,2656,2720,2868,2931,5331,64,148,63,2400,0
1182,F3,3,3140,3203,3226,3455,5855,63,23,229,2400,0
1424,F3,3,3059,3122,3167,3168,5506,63,45,1,2338,1
2106,F3,3,3217,3281,3383,3474,5874,64,102,91,2400,0
2486,F3,3,2945,3008,3094,3110,5510,63,86,16,2400,0
1340,F4,3,2866,2928,2932,3758,5158,62,4,826,1400,1
1417,F4,3,2709,2771,3125,3421,4865,62,354,296,1444,1
1467,F4,3,2790,2854,2856,2932,5332,64,2,76,2400,0
1421,G1,3,4331,4393,4467,4497,6833,62,74,30,2336,1
1674,G1,3,4249,4312,4342,4349,6749,63,30,7,2400,0
2009,G1,3,4409,4473,4544,4676,6715,64,71,132,2039,1
1258,G2,3,4643,4707,5230,7717,10117,64,523,2487,2400,0
1328,G2,3,4564,4628,4664,5222,7622,64,36,558,2400,0
1408,G2,3,4488,4552,4640,5001,7401,64,88,361,2400,0
1360,G3,3,5404,5468,5625,5933,7272,64,157,308,1339,1
1795,G3,3,5572,5636,5639,5643,5840,64,3,4,197,1
2081,G3,3,5488,5554,5568,5853,6509,66,14,285,656,1
1223,G4,3,5231,5293,5326,5341,7741,62,33,15,2400,0
1334,G4,3,5068,5130,5153,5159,7559,62,23,6,2400,0
1619,G4,3,5324,5387,5577,5587,7987,63,190,10,2400,0
2242,G4,3,5147,5208,6003,7046,8445,61,795,1043,1399,1
1255,A1,4,491,556,569,1981,4381,65,13,1412,2400,0
1382,A1,4,332,396,420,430,2830,64,24,10,2400,0
1410,A1,4,255,319,353,2281,4681,64,34,1928,2400,0
2073,A1,4,411,474,523,525,2925,63,49,2,2400,0
1373,A2,4,730,795,817,987,3387,65,22,170,2400,0
1478,A2,4,574,639,645,696,3096,65,6,51,2400,0
2298,A2,4,652,714,1028,1049,3449,62,314,21,2400,0
1207,A3,4,969,1033,1050,1229,3629,64,17,179,2400,0
1381,A3,4,885,950,963,1044,3444,65,13,81,2400,0
1401,A3,4,1060,1123,1236,1355,3755,63,113,119,2400,0
1283,A4,4,705,769,863,2362,4762,64,94,1499,2400,0
1562,A4,4,624,688,1042,1045,3445,64,354,3,2400,0
1609,A4,4,789,855,860,1024,3424,66,5,164,2400,0
1276,B1,4,1588,1651,1665,1795,4169,63,14,130,2374,1
1438,B1,4,1510,1574,1578,3098,5498,64,4,1520,2400,0
1198,B2,4,1194,1259,1274,1310,3710,65,15,36,2400,0
1233,B2,4,1273,1337,1458,2692,5092,64,121,1234,2400,0
1240,B2,4,1431,1495,1497,1724,4124,64,2,227,2400,0
1284,B2,4,1354,1418,1421,1584,3984,64,3,163,2400,0
1432,B3,4,2913,2978,2980,2992,3108,65,2,12,116,1
2047,B3,4,2996,3061,3092,3098,4348,65,31,6,1250,1
1205,B4,4,2316,2381,2384,2733,5133,65,3,349,2400,0
1296,B4,4,2405,2473,NA,NA,NA,68,0,NA,NA,NA
1399,B4,4,2491,2554,2565,3420,5820,63,11,855,2400,0
1366,C1,4,2133,2196,2225,2232,4632,63,29,7,2400,0
1374,C1,4,1973,2034,2061,2077,2548,61,27,16,471,1
1463,C1,4,2053,2117,2196,2202,4602,64,79,6,2400,0
1202,C2,4,2289,2353,2394,2396,4796,64,41,2,2400,0
1322,C2,4,2212,2278,2531,2533,4933,66,253,2,2400,0
2205,C2,4,2370,2434,2542,2637,5037,64,108,95,2400,0
1611,C3,4,2696,2760,2835,2910,5310,64,75,75,2400,0
1222,C4,4,2361,2424,2642,2772,5172,63,218,130,2400,0
1390,C4,4,2604,2671,2683,3304,5704,67,12,621,2400,0
1454,C4,4,2443,2496,2669,2708,5108,53,173,39,2400,0
2105,C4,4,2525,2589,2823,2846,5246,64,234,23,2400,0
1177,D1,4,3311,3375,3492,3826,4776,64,117,334,950,1
1358,D1,4,3393,3458,3493,3533,4623,65,35,40,1090,1
1479,D1,4,3226,3298,3468,3470,5870,72,170,2,2400,0
1303,D2,4,3474,3538,3758,3908,6308,64,220,150,2400,0
1531,D2,4,3551,3665,3807,3833,6233,114,142,26,2400,0
1371,D3,4,685,748,788,1280,1606,63,40,492,326,1
1459,D3,4,603,666,732,759,3159,63,66,27,2400,0
1166,D4,4,357,421,594,620,3020,64,173,26,2400,0
1192,D4,4,440,502,518,627,3027,62,16,109,2400,0
1229,D4,4,279,342,662,666,3066,63,320,4,2400,0
1257,D4,4,522,582,651,670,3070,60,69,19,2400,0
1442,E1,4,848,913,944,1338,3738,65,31,394,2400,0
1565,E1,4,770,835,2658,2659,5059,65,1823,1,2400,0
1174,E2,4,1168,1231,1235,1237,3637,63,4,2,2400,0
1185,E2,4,1089,1154,1261,1350,3750,65,107,89,2400,0
1402,E2,4,1009,1072,1371,1511,3911,63,299,140,2400,0
2255,E2,4,929,995,1091,1092,3492,66,96,1,2400,0
1218,E3,4,1750,1813,1831,2148,4548,63,18,317,2400,0
1443,E3,4,1830,1893,1895,1911,4311,63,2,16,2400,0
2164,E3,4,1920,1984,2105,2233,4633,64,121,128,2400,0
1172,E4,4,1487,1551,1795,1861,4261,64,244,66,2400,0
1239,E4,4,1654,1717,1721,1827,4227,63,4,106,2400,0
2346,E4,4,1671,1734,1824,1829,4229,63,90,5,2400,0
1230,F1,4,2523,2586,2646,2716,5116,63,60,70,2400,0
1487,F1,4,2595,2660,2668,2763,5163,65,8,95,2400,0
2351,F1,4,2445,2509,2580,2614,5014,64,71,34,2400,0
1419,F2,4,2672,2736,2738,2743,5143,64,2,5,2400,0
1534,F2,4,2907,2974,3025,3159,5322,67,51,134,2163,1
1580,F2,4,2751,2815,3016,3529,5258,64,201,513,1729,1
1613,F2,4,2834,2897,2989,2995,4411,63,92,6,1416,1
1182,F3,4,3261,3408,3411,3487,5887,147,3,76,2400,0
1424,F3,4,3180,3243,3286,3531,5931,63,43,245,2400,0
2106,F3,4,3429,3521,3712,3764,6164,92,191,52,2400,0
2486,F3,4,3092,3156,3216,3610,6010,64,60,394,2400,0
1340,F4,4,3014,3547,4078,4106,5078,533,531,28,972,1
1417,F4,4,2848,2914,2917,3172,3849,66,3,255,677,1
1467,F4,4,2932,2995,3001,3942,6342,63,6,941,2400,0
1421,G1,4,4639,4701,4827,4858,5366,62,126,31,508,1
1674,G1,4,4552,4616,4664,4677,7077,64,48,13,2400,0
2009,G1,4,4717,4781,5030,5050,7035,64,249,20,1985,1
1258,G2,4,4879,4942,6065,6166,8566,63,1123,101,2400,0
1328,G2,4,4953,5032,5045,5147,7063,79,13,102,1916,1
1408,G2,4,4799,4863,4890,5144,7544,64,27,254,2400,0
1360,G3,4,5337,5400,5421,5847,7407,63,21,426,1560,1
1795,G3,4,5416,5480,5488,5537,7937,64,8,49,2400,0
2081,G3,4,5501,5577,NA,NA,NA,76,0,NA,NA,NA
1223,G4,4,5172,5241,5318,5374,7774,69,77,56,2400,0
1334,G4,4,5004,5068,5094,5120,7520,64,26,26,2400,0
